Nama,Language,Problem,Difficulty,Dev Time (Seconds),Lines of Codes
T01,C,E1,Easy,125,13
T01,Python,E1,Easy,56,5
T01,C,E2,Easy,106,9
T01,Python,E2,Easy,46,3
T01,C,E3,Easy,84,12
T01,Python,E3,Easy,68,5
T01,C,M1,Medium,260,25
T01,Python,M1,Medium,183,20
T01,C,M2,Medium,320,16
T01,Python,M2,Medium,172,11
T01,C,M3,Medium,145,18
T01,Python,M3,Medium,80,10
T01,C,H1,Hard,267,29
T01,Python,H1,Hard,200,11
T01,C,H2,Hard,281,28
T01,Python,H2,Hard,188,15
T01,C,H3,Hard,173,19
T01,Python,H3,Hard,141,10
T02,C,E1,Easy,135,13
T02,Python,E1,Easy,78,5
T03,C,E2,Easy,142,9
T03,Python,E2,Easy,89,3
T04,C,E3,Easy,78,12
T04,Python,E3,Easy,73,5
T02,C,M1,Medium,527,25
T02,Python,M1,Medium,390,20
T03,C,M2,Medium,283,16
T03,Python,M2,Medium,171,11
T04,C,M3,Medium,196,18
T04,Python,M3,Medium,101,10
T02,C,H1,Hard,603,29
T02,Python,H1,Hard,835,11
T03,C,H2,Hard,312,28
T03,Python,H2,Hard,291,15
T04,C,H3,Hard,695,19
T04,Python,H3,Hard,432,10
T05,C,E1,Easy,190,13
T05,Python,E1,Easy,77,5
T05,C,E2,Easy,175,9
T05,Python,E2,Easy,69,3
T05,C,E3,Easy,176,12
T05,Python,E3,Easy,81,5
T05,C,M1,Medium,339,25
T05,Python,M1,Medium,706,20
T05,C,M2,Medium,472,16
T05,Python,M2,Medium,152,11
T05,C,M3,Medium,220,18
T05,Python,M3,Medium,161,10
T05,C,H1,Hard,592,29
T05,Python,H1,Hard,390,11
T05,C,H2,Hard,544,28
T05,Python,H2,Hard,301,15
T05,C,H3,Hard,296,19
T05,Python,H3,Hard,173,10
T06,C,E1,Easy,526,13
T06,Python,E1,Easy,78,5
T06,C,E2,Easy,270,9
T06,Python,E2,Easy,59,3
T06,C,E3,Easy,292,12
T06,Python,E3,Easy,211,5
T06,C,M1,Medium,799,25
T06,Python,M1,Medium,244,20
T06,C,M2,Medium,466,16
T06,Python,M2,Medium,228,11
T06,C,M3,Medium,728,18
T06,Python,M3,Medium,257,10
T06,C,H1,Hard,632,29
T06,Python,H1,Hard,528,11
T06,C,H2,Hard,703,28
T06,Python,H2,Hard,447,15
T06,C,H3,Hard,802,19
T06,Python,H3,Hard,408,10
T07,C,E1,Easy,390,13
T07,Python,E1,Easy,69,5
T07,C,E2,Easy,261,9
T07,Python,E2,Easy,74,3
T07,C,E3,Easy,46,12
T07,Python,E3,Easy,77,5
T07,C,M1,Medium,396,25
T07,Python,M1,Medium,112,20
T07,C,M2,Medium,136,16
T07,Python,M2,Medium,115,11
T07,C,M3,Medium,164,18
T07,Python,M3,Medium,117,10
T07,C,H1,Hard,187,29
T07,Python,H1,Hard,142,11
T07,C,H2,Hard,180,28
T07,Python,H2,Hard,160,15
T07,C,H3,Hard,186,19
T07,Python,H3,Hard,185,10
T08,C,E1,Easy,30,13
T08,Python,E1,Easy,48,5
T08,C,E2,Easy,53,9
T08,Python,E2,Easy,20,3
T08,C,E3,Easy,31,12
T08,Python,E3,Easy,20,5
T08,C,M1,Medium,40,25
T08,Python,M1,Medium,35,20
T08,C,M2,Medium,25,16
T08,Python,M2,Medium,26,11
T08,C,M3,Medium,25,18
T08,Python,M3,Medium,28,10
T08,C,H1,Hard,30,29
T08,Python,H1,Hard,41,11
T08,C,H2,Hard,53,28
T08,Python,H2,Hard,24,15
T08,C,H3,Hard,23,19
T08,Python,H3,Hard,22,10
T09,C,E1,Easy,176,11
T09,Python,E1,Easy,96,7
T09,C,E2,Easy,121,16
T09,Python,E2,Easy,101,5
T09,C,E3,Easy,177,16
T09,Python,E3,Easy,147,6
T09,C,M1,Medium,397,33
T09,Python,M1,Medium,317,17
T09,C,M2,Medium,940,24
T09,Python,M2,Medium,640,10
T09,C,M3,Medium,790,26
T09,Python,M3,Medium,630,15
T09,C,H1,Hard,6050,42
T09,Python,H1,Hard,3150,14
T09,C,H2,Hard,481,38
T09,Python,H2,Hard,301,14
T09,C,H3,Hard,421,33
T09,Python,H3,Hard,254,20
T10,C,E1,Easy,40,17
T10,Python,E1,Easy,50,6
T10,C,E2,Easy,90,12
T10,Python,E2,Easy,105,3
T10,C,E3,Easy,78,15
T10,Python,E3,Easy,60,5
T10,C,M1,Medium,135,33
T10,Python,M1,Medium,90,17
T10,C,M2,Medium,85,20
T10,Python,M2,Medium,60,10
T10,C,M3,Medium,165,21
T10,Python,M3,Medium,60,10
T10,C,H1,Hard,600,39
T10,Python,H1,Hard,116,12
T10,C,H2,Hard,422,34
T10,Python,H2,Hard,165,15
T10,C,H3,Hard,243,26
T10,Python,H3,Hard,120,14
T11,C,E1,Easy,35,17
T11,Python,E1,Easy,52,6
T11,C,E2,Easy,78,12
T11,Python,E2,Easy,104,3
T11,C,E3,Easy,74,15
T11,Python,E3,Easy,56,5
T11,C,M1,Medium,133,33
T11,Python,M1,Medium,105,17
T11,C,M2,Medium,83,20
T11,Python,M2,Medium,66,10
T11,C,M3,Medium,142,21
T11,Python,M3,Medium,56,10
T11,C,H1,Hard,585,39
T11,Python,H1,Hard,104,12
T11,C,H2,Hard,322,32
T11,Python,H2,Hard,150,15
T11,C,H3,Hard,183,28
T11,Python,H3,Hard,122,14
T12,C,E1,Easy,173,18
T12,Python,E1,Easy,123,6
T12,C,E2,Easy,148,14
T12,Python,E2,Easy,100,4
T12,C,E3,Easy,145,18
T12,Python,E3,Easy,61,8
T12,C,M1,Medium,455,34
T12,Python,M1,Medium,174,5
T12,C,M2,Medium,204,21
T12,Python,M2,Medium,164,14
T12,C,M3,Medium,194,20
T12,Python,M3,Medium,159,11
T12,C,H1,Hard,398,34
T12,Python,H1,Hard,213,15
T12,C,H2,Hard,379,34
T12,Python,H2,Hard,228,22
T12,C,H3,Hard,323,14
T12,Python,H3,Hard,173,25
T13,C,E1,Easy,45,17
T13,Python,E1,Easy,55,6
T13,C,E2,Easy,110,12
T13,Python,E2,Easy,63,3
T13,C,E3,Easy,105,14
T13,Python,E3,Easy,79,5
T13,C,M1,Medium,250,31
T13,Python,M1,Medium,184,17
T13,C,M2,Medium,219,20
T13,Python,M2,Medium,176,12
T13,C,M3,Medium,290,21
T13,Python,M3,Medium,182,10
T13,C,H1,Hard,577,36
T13,Python,H1,Hard,233,8
T13,C,H2,Hard,444,28
T13,Python,H2,Hard,271,15
T13,C,H3,Hard,275,25
T13,Python,H3,Hard,213,14
T14,C,E1,Easy,62,17
T14,Python,E1,Easy,61,6
T14,C,E2,Easy,150,12
T14,Python,E2,Easy,120,3
T14,C,E3,Easy,162,15
T14,Python,E3,Easy,134,6
T14,C,M1,Medium,323,33
T14,Python,M1,Medium,254,17
T14,C,M2,Medium,288,20
T14,Python,M2,Medium,235,10
T14,C,M3,Medium,334,21
T14,Python,M3,Medium,323,10
T14,C,H1,Hard,714,39
T14,Python,H1,Hard,406,11
T14,C,H2,Hard,514,34
T14,Python,H2,Hard,325,15
T14,C,H3,Hard,322,25
T14,Python,H3,Hard,295,14
T15,C,E1,Easy,289,23
T15,Python,E1,Easy,129,7
T15,C,E2,Easy,302,14
T15,Python,E2,Easy,208,3
T15,C,E3,Easy,301,14
T15,Python,E3,Easy,133,6
T15,C,M1,Medium,605,33
T15,Python,M1,Medium,255,17
T15,C,M2,Medium,741,27
T15,Python,M2,Medium,436,19
T15,C,M3,Medium,623,26
T15,Python,M3,Medium,323,15
T15,C,H1,Hard,5313,42
T15,Python,H1,Hard,3188,14
T15,C,H2,Hard,3266,39
T15,Python,H2,Hard,1415,19
T15,C,H3,Hard,3580,32
T15,Python,H3,Hard,1311,15
T16,C,E1,Easy,142,21
T16,Python,E1,Easy,83,6
T16,C,E2,Easy,164,13
T16,Python,E2,Easy,71,3
T16,C,E3,Easy,184,15
T16,Python,E3,Easy,95,6
T16,C,M1,Medium,242,33
T16,Python,M1,Medium,199,17
T16,C,M2,Medium,329,20
T16,Python,M2,Medium,172,10
T16,C,M3,Medium,410,21
T16,Python,M3,Medium,183,10
T16,C,H1,Hard,2501,39
T16,Python,H1,Hard,710,11
T16,C,H2,Hard,1729,34
T16,Python,H2,Hard,531,15
T16,C,H3,Hard,663,25
T16,Python,H3,Hard,543,14
T17,C,E1,Easy,122,17
T17,Python,E1,Easy,71,5
T17,C,E2,Easy,126,13
T17,Python,E2,Easy,176,3
T17,C,E3,Easy,159,15
T17,Python,E3,Easy,202,5
T17,C,M1,Medium,356,36
T17,Python,M1,Medium,382,13
T17,C,M2,Medium,306,26
T17,Python,M2,Medium,708,15
T17,C,M3,Medium,208,20
T17,Python,M3,Medium,136,11
T17,C,H1,Hard,548,40
T17,Python,H1,Hard,252,15
T17,C,H2,Hard,661,31
T17,Python,H2,Hard,284,18
T17,C,H3,Hard,291,28
T17,Python,H3,Hard,244,17
T18,C,E1,Easy,60,24
T18,Python,E1,Easy,43,5
T18,C,E2,Easy,46,13
T18,Python,E2,Easy,47,3
T18,C,E3,Easy,51,15
T18,Python,E3,Easy,56,5
T18,C,M1,Medium,170,37
T18,Python,M1,Medium,124,20
T18,C,M2,Medium,198,24
T18,Python,M2,Medium,105,14
T18,C,M3,Medium,109,24
T18,Python,M3,Medium,137,11
T18,C,H1,Hard,362,38
T18,Python,H1,Hard,169,16
T18,C,H2,Hard,706,34
T18,Python,H2,Hard,235,19
T18,C,H3,Hard,184,30
T18,Python,H3,Hard,131,17
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
T09,,,,,
