Language,Problem,Dataset (int),Execution Speed (ms) (avg. 5x),Run1,Run2,Run3,Run4,Run5
Python,H1,1000,0.0708,0.0704,0.0709,0.0709,0.0719,0.0699
Python,H1,5000,0.42524,0.4143,0.415,0.4246,0.4594,0.4129
Python,H1,10000,0.88214,0.8967,0.8845,0.8814,0.877,0.8711
C,H1,1000,1.6,0,2,2,2,2
C,H1,5000,33,33,33,33,33,33
C,H1,10000,149.8,150,152,149,149,149
Python,H2,100x100,1.45054,1.2698,1.2907,1.3208,1.2692,2.1022
Python,H2,500x500,34.23564,29.5935,32.0772,32.9239,36.3837,40.1999
Python,H2,1000x1000,158.16268,166.2824,147.8834,172.1395,164.3611,140.147
C,H2,100x100,0,0,0,0,0,0
C,H2,500x500,1.4,1,2,2,1,1
C,H2,1000x1000,5,5,5,5,6,4
